bfs_nr,municipality_name,canton_code,snapshot_year,population_2019,density_per_km2_2019,area_km2,annual_potential_gwh,estimated_potential_kw,current_total_kw,pv_utilization_score_pct_current,untapped_potential_kw_current
1,Aeugst am Albis,ZH,2026,1981,250.442478,7.91,16.03,14572.7273,1225.28,8.408035,13347.4473
2,Affoltern am Albis,ZH,2026,12303,1161.756374,10.59,68.3,62090.9091,7748.95,12.480007,54341.9591
3,Bonstetten,ZH,2026,5572,749.932705,7.43,24.64,22400.0,2480.28,11.072679,19919.72
4,Hausen am Albis,ZH,2026,3751,275.808824,13.6,29.3,26636.3636,3065.05,11.507014,23571.3136
5,Hedingen,ZH,2026,3778,578.56049,6.53,23.13,21027.2727,4075.94,19.384064,16951.3327
6,Kappel am Albis,ZH,2026,1221,154.166667,7.92,12.59,11445.4545,784.81,6.856958,10660.6445
7,Knonau,ZH,2026,2378,367.542504,6.47,17.4,15818.1818,4993.39,31.567408,10824.7918
8,Maschwanden,ZH,2026,645,137.526653,4.69,7.75,7045.4545,1162.03,16.493329,5883.4245
9,Mettmenstetten,ZH,2026,5200,399.079048,13.03,39.54,35945.4545,7223.92,20.096894,28721.5345
10,Obfelden,ZH,2026,5721,758.753316,7.54,31.61,28736.3636,6470.41,22.516454,22265.9536
11,Ottenbach,ZH,2026,2588,515.537849,5.02,19.45,17681.8182,2893.15,16.362288,14788.6682
12,Rifferswil,ZH,2026,1129,173.425499,6.51,11.33,10300.0,2258.32,21.925437,8041.68
13,Stallikon,ZH,2026,3755,312.396007,12.02,20.05,18227.2727,1864.17,10.227367,16363.1027
14,Wettswil am Albis,ZH,2026,5240,1389.920424,3.77,25.43,23118.1818,3507.32,15.171262,19610.8618
22,Benken (ZH),ZH,2026,845,149.293286,5.66,10.94,9945.4545,542.5,5.454753,9402.9545
23,Berg am Irchel,ZH,2026,577,82.310984,7.01,7.5,6818.1818,294.27,4.31596,6523.9118
24,Buch am Irchel,ZH,2026,979,95.886386,10.21,12.14,11036.3636,1436.84,13.019143,9599.5236
25,Dachsen,ZH,2026,1916,709.62963,2.7,13.72,12472.7273,2176.84,17.452799,10295.8873
26,Dorf,ZH,2026,658,118.345324,5.56,6.48,5890.9091,440.38,7.475586,5450.5291
27,Feuerthalen,ZH,2026,3614,1457.258065,2.48,20.66,18781.8182,1988.28,10.586196,16793.5382
28,Flaach,ZH,2026,1420,139.626352,10.17,17.11,15554.5455,1232.88,7.926172,14321.6655
29,Flurlingen,ZH,2026,1477,612.863071,2.41,11.7,10636.3636,934.75,8.788248,9701.6136
31,Henggart,ZH,2026,2234,737.293729,3.03,12.94,11763.6364,2399.17,20.394799,9364.4664
33,Kleinandelfingen,ZH,2026,2074,201.554908,10.29,21.12,19200.0,1976.65,10.295052,17223.35
34,Laufen-Uhwiesen,ZH,2026,1761,280.414013,6.28,15.24,13854.5455,0.0,0.0,13854.5455
35,Marthalen,ZH,2026,1918,135.739561,14.13,28.37,25790.9091,3918.42,15.193028,21872.4891
37,Ossingen,ZH,2026,1668,127.425516,13.09,21.07,19154.5455,2251.16,11.752615,16903.3855
38,Rheinau,ZH,2026,1316,147.368421,8.93,14.77,13427.2727,1065.49,7.935267,12361.7827
39,Thalheim an der Thur,ZH,2026,938,145.652174,6.44,11.18,10163.6364,895.06,8.806494,9268.5764
40,Trüllikon,ZH,2026,1061,110.983264,9.56,14.14,12854.5455,927.12,7.21239,11927.4255
41,Truttikon,ZH,2026,463,104.988662,4.41,6.29,5718.1818,430.96,7.536661,5287.2218
43,Volken,ZH,2026,380,118.75,3.2,4.23,3845.4545,189.28,4.922175,3656.1745
