bfs_nr,municipality_name,canton_code,year,population_2019,density_per_km2_2019,area_km2,annual_potential_gwh,estimated_potential_kw,pv_added_initial_kw,pv_added_plants,pv_cumulative_initial_kw,pv_utilization_score_pct,untapped_potential_kw
1,Aeugst am Albis,ZH,2016,1981,250.442478,7.91,16.03,14572.7273,3.3,2,3.3,0.022645,14569.4273
1,Aeugst am Albis,ZH,2017,1981,250.442478,7.91,16.03,14572.7273,95.28,8,98.58,0.676469,14474.1473
1,Aeugst am Albis,ZH,2018,1981,250.442478,7.91,16.03,14572.7273,17.69,1,116.27,0.79786,14456.4573
1,Aeugst am Albis,ZH,2019,1981,250.442478,7.91,16.03,14572.7273,36.47,3,152.74,1.048122,14419.9873
1,Aeugst am Albis,ZH,2020,1981,250.442478,7.91,16.03,14572.7273,68.4,8,221.14,1.517492,14351.5873
1,Aeugst am Albis,ZH,2021,1981,250.442478,7.91,16.03,14572.7273,74.15,7,295.29,2.026319,14277.4373
1,Aeugst am Albis,ZH,2022,1981,250.442478,7.91,16.03,14572.7273,46.41,3,341.7,2.344791,14231.0273
1,Aeugst am Albis,ZH,2023,1981,250.442478,7.91,16.03,14572.7273,268.0,10,609.7,4.183843,13963.0273
1,Aeugst am Albis,ZH,2024,1981,250.442478,7.91,16.03,14572.7273,250.52,16,860.22,5.902944,13712.5073
1,Aeugst am Albis,ZH,2025,1981,250.442478,7.91,16.03,14572.7273,225.43,12,1085.65,7.449875,13487.0773
2,Affoltern am Albis,ZH,2016,12303,1161.756374,10.59,68.3,62090.9091,313.26,9,313.26,0.504518,61777.6491
2,Affoltern am Albis,ZH,2017,12303,1161.756374,10.59,68.3,62090.9091,70.3,8,383.56,0.617739,61707.3491
2,Affoltern am Albis,ZH,2018,12303,1161.756374,10.59,68.3,62090.9091,60.67,7,444.23,0.715451,61646.6791
2,Affoltern am Albis,ZH,2019,12303,1161.756374,10.59,68.3,62090.9091,103.03,9,547.26,0.881385,61543.6491
2,Affoltern am Albis,ZH,2020,12303,1161.756374,10.59,68.3,62090.9091,149.66,13,696.92,1.122419,61393.9891
